date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-03-15,3497.0,21157.0,173.0,1441.0,,,95.77969458794837,6.52354019479291,
2020-03-16,2823.0,23980.0,370.0,1811.0,,,108.55967652403469,8.198564394705038,
2020-03-17,4000.0,27980.0,347.0,2158.0,,,126.66804625281445,9.769465468676684,
2020-03-18,3526.0,31506.0,347.0,2505.0,,,142.63057416873383,11.340366542648328,
2020-03-19,4207.0,35713.0,473.0,2978.0,,,161.67605203097793,13.481681263076535,
2020-03-20,5322.0,41035.0,429.0,3407.0,,,185.76923795511942,15.423803916488165,
2020-03-21,5986.0,47021.0,625.0,4032.0,,,212.86841325423833,18.253236686610002,
2020-03-22,6557.0,53578.0,795.0,4827.0,,,242.55255833214056,21.85227517020498,
2020-03-23,5560.0,59138.0,649.0,5476.0,,,267.72319225514445,24.790358158699497,
2020-03-24,4789.0,63927.0,601.0,6077.0,,,289.403437912926,27.511140710448657,
2020-03-25,5249.0,69176.0,743.0,6820.0,,,313.16614608951727,30.874770387569498,
2020-03-26,5210.0,74386.0,685.0,7505.0,,,336.7522976612529,33.97582870362303,
2020-03-27,6153.0,80539.0,660.0,8165.0,,,364.60749739654835,36.9637097088717,
2020-03-28,5959.0,86498.0,971.0,9136.0,,,391.584441199998,41.35951646053298,
2020-03-29,5974.0,92472.0,887.0,10023.0,,,418.6292913899306,45.3750474478899,
2020-03-30,5217.0,97689.0,758.0,10781.0,,,442.24713260869163,48.80658351149366,
2020-03-31,4050.0,101739.0,810.0,11591.0,,,460.5818569590811,52.47352838157156,
2020-04-01,4053.0,105792.0,839.0,12430.0,,,478.9301625867672,56.27175893218312,
2020-04-02,4782.0,110574.0,727.0,13157.0,,,500.57871859752345,59.56295513038884,
2020-04-03,4668.0,115242.0,760.0,13917.0,,,521.7111860710094,63.003545378857,
2020-04-04,4585.0,119827.0,764.0,14681.0,,,542.4679048726232,66.46224399705393,
2020-04-05,4805.0,124632.0,681.0,15362.0,,,564.2205840093199,69.54519394337869,
2020-04-06,4316.0,128948.0,527.0,15889.0,,,583.7595149466732,71.93097165514543,
2020-04-07,3599.0,132547.0,636.0,16525.0,,,600.0525206101429,74.8102024420214,
2020-04-08,3039.0,135586.0,604.0,17129.0,,,613.8103545115833,77.54456627106715,
2020-04-09,3836.0,139422.0,540.0,17669.0,,,631.1762810814831,79.98919618445241,
2020-04-10,4204.0,143626.0,612.0,18281.0,,,650.2081776664306,82.75977675295572,
2020-04-11,3951.0,147577.0,570.0,18851.0,,,668.0947198660328,85.34021943930684,
2020-04-12,4694.0,152271.0,619.0,19470.0,,,689.3448917427559,88.1424896548355,
2020-04-13,4092.0,156363.0,431.0,19901.0,,,707.8697539752976,90.09366649311153,
2020-04-14,3153.0,159516.0,564.0,20465.0,,,722.1436764140083,92.64694662486947,
2020-04-15,2972.0,162488.0,604.0,21069.0,,,735.5981951224916,95.38131045391522,
2020-04-16,2667.0,165155.0,578.0,21647.0,,,747.6719506391555,97.9979698797239,
2020-04-17,3786.0,168941.0,525.0,22172.0,,,764.8115225874456,100.37469340662624,
2020-04-18,3493.0,172434.0,575.0,22747.0,,,780.6246564531025,102.97777155513833,
2020-04-19,3491.0,175925.0,480.0,23227.0,,,796.428736133895,105.1507759225919,
2020-04-20,3047.0,178972.0,433.0,23660.0,7841.0,7841.0,810.222786774793,107.11100694573231,35.49693176084053
2020-04-21,2256.0,181228.0,454.0,24114.0,28095.0,35936.0,820.4359073018248,109.16630690994882,162.6855936433574
2020-04-22,2729.0,183957.0,534.0,24648.0,44248.0,80184.0,832.7903425492848,111.58377426874091,363.0003795831192
2020-04-23,3370.0,187327.0,437.0,25085.0,37083.0,117267.0,848.0466440457817,113.5621136616101,530.8785482462042
2020-04-24,2646.0,189973.0,464.0,25549.0,95273.0,212540.0,860.0253306213696,115.66268455014855,962.1882255387128
2020-04-25,3021.0,192994.0,420.0,25969.0,38676.0,251216.0,873.7016768590305,117.56406337167043,1137.2780524462844
2020-04-26,2357.0,195351.0,415.0,26384.0,24113.0,275329.0,884.3720337217139,119.44280673103133,1246.439832263801
2020-04-27,2324.0,197675.0,260.0,26644.0,26678.0,302007.0,894.892996534135,120.61985076340201,1367.2136041698975
2020-04-28,1739.0,199414.0,333.0,26977.0,37554.0,339561.0,902.765610273722,122.12737254332293,1537.2240333685463
2020-04-29,2091.0,201505.0,382.0,27359.0,38589.0,378150.0,912.2317605494417,123.8567218524214,1711.920003234517
2020-04-30,2086.0,203591.0,323.0,27682.0,41441.0,419591.0,921.6752753630003,125.31897270802037,1899.5272407171076
2020-05-01,1872.0,205463.0,285.0,27967.0,43732.0,463323.0,930.1499923960693,126.60919405119591,2097.5060469618566
2020-05-02,1965.0,207428.0,269.0,28236.0,31231.0,494554.0,939.0457290253322,127.82698191545636,2238.891670711737
2020-05-03,1900.0,209328.0,474.0,28710.0,27047.0,521601.0,947.6472046465027,129.97282372831677,2361.3359397253134
2020-05-04,1389.0,210717.0,174.0,28884.0,22999.0,544600.0,953.9353360348214,130.76053781151867,2465.454538573365
2020-05-05,1221.0,211938.0,195.0,29079.0,32211.0,576811.0,959.4629158945314,131.6433208357967,2611.276712906796
2020-05-06,1075.0,213013.0,236.0,29315.0,37771.0,614582.0,964.329540259141,132.7117146497947,2782.2695211632313
2020-05-07,1444.0,214457.0,369.0,29684.0,13665.0,628247.0,970.8666617312305,134.38221175727463,2844.132239249175
